customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total,Contas_Diarias,escala_customer_tenure,escala_account_Charges_Monthly,escala_account_Charges_Total,escala_Contas_Diarias
2692-BUCFV,no,male,1,no,no,29,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),101.45,2948.6,3.33,21-30,101-120,2501-3000,3.0-3.5
2692-PFYTJ,no,female,0,no,no,1,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,25.75,25.75,0.85,0-20,21-40,0-500,0.5-1.0
2694-CIUMO,no,female,0,no,no,12,yes,yes,fiber optic,no,no,no,yes,no,no,month-to-month,yes,credit card (automatic),79.55,958.25,2.61,0-20,61-80,501-1000,2.5-3.0
2696-ECXKC,no,female,0,yes,yes,55,yes,yes,fiber optic,yes,no,no,no,yes,yes,one year,no,mailed check,100.9,5448.6,3.31,51-60,101-120,5001-5500,3.0-3.5
2696-NARTR,yes,male,0,no,no,11,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,yes,electronic check,73.85,926.25,2.43,0-20,61-80,501-1000,2.0-2.5
2696-RZVZW,no,male,0,yes,no,68,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),25.05,1629.2,0.82,61-70,21-40,1501-2000,0.5-1.0
2697-NQBPF,no,male,0,no,no,34,yes,yes,fiber optic,no,yes,no,yes,yes,yes,month-to-month,yes,electronic check,105.35,3540.65,3.46,31-40,101-120,3501-4000,3.0-3.5
2700-LUEVA,no,male,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),20.75,20.75,0.68,0-20,21-40,0-500,0.5-1.0
2703-AMTUL,no,male,0,yes,yes,36,yes,no,dsl,yes,yes,no,no,no,no,one year,no,mailed check,53.65,1939.35,1.76,31-40,41-60,1501-2000,1.5-2.0
2706-QZIHY,no,female,0,yes,no,15,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.2,387.9,0.83,0-20,21-40,0-500,0.5-1.0
2709-UQGNP,no,male,0,no,no,10,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,51.65,524.5,1.7,0-20,41-60,501-1000,1.5-2.0
2710-WYVXG,no,female,0,no,no,3,yes,no,dsl,yes,yes,no,yes,no,yes,two year,no,mailed check,71.1,213.35,2.34,0-20,61-80,0-500,2.0-2.5
2712-SYWAY,no,female,0,no,no,1,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,25.7,25.7,0.84,0-20,21-40,0-500,0.5-1.0
2716-GFZOR,no,male,0,yes,no,43,yes,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),86.1,3551.65,2.83,41-50,81-100,3501-4000,2.5-3.0
2717-HVIZY,no,female,0,no,yes,8,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,163.6,0.66,0-20,21-40,0-500,0.5-1.0
2718-GAXQD,yes,female,1,yes,yes,4,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,46.0,181.6,1.51,0-20,41-60,0-500,1.5-2.0
2718-YSKCS,no,male,0,yes,yes,71,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),19.6,1387.45,0.64,71-80,0-20,1001-1500,0.5-1.0
2719-BDAQO,yes,male,0,no,no,17,yes,no,fiber optic,yes,no,no,no,yes,yes,month-to-month,no,electronic check,93.85,1625.65,3.08,0-20,81-100,1501-2000,3.0-3.5
2720-FVBQP,no,female,0,yes,yes,6,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),48.95,273.25,1.61,0-20,41-60,0-500,1.5-2.0
2720-WGKHP,yes,male,1,no,no,2,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,94.0,181.7,3.09,0-20,81-100,0-500,3.0-3.5
2722-JMONI,yes,female,1,yes,no,1,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,49.55,49.55,1.63,0-20,41-60,0-500,1.5-2.0
2722-VOJQL,yes,male,0,no,no,64,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,yes,credit card (automatic),105.65,6903.1,3.47,61-70,101-120,6501-7000,3.0-3.5
2724-FJDYW,no,male,0,no,yes,39,no,no phone service,dsl,no,no,yes,yes,yes,yes,one year,no,bank transfer (automatic),54.85,2191.7,1.8,31-40,41-60,2001-2500,1.5-2.0
2725-IWWBA,no,male,0,yes,yes,46,yes,no,dsl,yes,no,yes,yes,no,no,one year,no,mailed check,56.9,2560.1,1.87,41-50,41-60,2501-3000,1.5-2.0
2725-KXXWT,yes,male,0,yes,no,1,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,90.75,90.75,2.98,0-20,81-100,0-500,2.5-3.0
2725-TTRIQ,no,female,0,yes,yes,72,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),84.2,5986.55,2.77,71-80,81-100,5501-6000,2.5-3.0
2729-VNVAP,no,female,0,yes,yes,33,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.8,641.35,0.65,31-40,0-20,501-1000,0.5-1.0
2731-GJRDG,no,female,0,no,no,32,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,one year,yes,bank transfer (automatic),109.55,3608.0,3.6,31-40,101-120,3501-4000,3.5-4.0
2732-ISEZX,no,female,0,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,20.5,104.3,0.67,0-20,21-40,0-500,0.5-1.0
2737-WFVYW,yes,female,0,no,no,2,no,no phone service,dsl,no,no,no,no,yes,yes,month-to-month,yes,electronic check,45.25,85.5,1.49,0-20,41-60,0-500,1.0-1.5
2737-YNGYW,yes,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,80.55,184.1,2.65,0-20,81-100,0-500,2.5-3.0
2739-CACDQ,no,female,1,no,no,17,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,yes,credit card (automatic),82.65,1470.05,2.72,0-20,81-100,1001-1500,2.5-3.0
2739-CCZMB,no,male,0,no,yes,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,credit card (automatic),20.35,122.0,0.67,0-20,21-40,0-500,0.5-1.0
2740-JFBOK,no,male,0,no,no,10,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,24.0,226.55,0.79,0-20,21-40,0-500,0.5-1.0
2740-TVLFN,no,male,0,no,no,1,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,50.15,50.15,1.65,0-20,41-60,0-500,1.5-2.0
2746-DIJLO,no,female,0,no,no,41,yes,yes,dsl,no,yes,no,no,no,no,one year,yes,credit card (automatic),56.3,2364.0,1.85,41-50,41-60,2001-2500,1.5-2.0
2748-MYRVK,yes,female,0,no,no,63,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,bank transfer (automatic),99.9,6137.0,3.28,61-70,81-100,6001-6500,3.0-3.5
2749-CTKAJ,no,male,0,yes,yes,22,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.15,419.9,0.66,21-30,21-40,0-500,0.5-1.0
2750-BJLSB,no,female,0,no,no,47,yes,no,fiber optic,yes,no,yes,yes,yes,yes,one year,yes,electronic check,103.7,4730.6,3.41,41-50,101-120,4501-5000,3.0-3.5
2753-JMMCV,no,male,0,no,no,65,yes,yes,dsl,no,yes,yes,yes,no,yes,two year,yes,credit card (automatic),74.2,4805.65,2.44,61-70,61-80,4501-5000,2.0-2.5
2754-SDJRD,no,female,1,no,no,8,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),100.15,908.55,3.29,0-20,101-120,501-1000,3.0-3.5
2754-VDLTR,yes,male,0,no,yes,10,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,95.2,930.4,3.13,0-20,81-100,501-1000,3.0-3.5
2754-XBHTB,yes,female,0,no,no,9,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),77.65,714.15,2.55,0-20,61-80,501-1000,2.5-3.0
2758-RNWXS,no,male,0,no,no,35,yes,no,fiber optic,yes,no,no,yes,no,yes,one year,yes,electronic check,89.2,3251.3,2.93,31-40,81-100,3001-3500,2.5-3.0
2761-OCIAX,yes,male,1,no,no,2,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,74.7,165.4,2.45,0-20,61-80,0-500,2.0-2.5
2761-XECQW,no,male,1,yes,no,8,no,no phone service,dsl,no,yes,yes,no,no,yes,month-to-month,yes,mailed check,43.35,371.4,1.42,0-20,41-60,0-500,1.0-1.5
2770-NSVDG,no,male,0,yes,no,24,no,no phone service,dsl,no,no,yes,no,no,no,month-to-month,no,electronic check,29.1,688.0,0.96,21-30,21-40,501-1000,0.5-1.0
2773-MADBQ,no,female,0,no,no,36,no,no phone service,dsl,yes,yes,yes,yes,no,yes,two year,yes,mailed check,53.1,1901.25,1.74,31-40,41-60,1501-2000,1.5-2.0
2773-OVBPK,no,male,0,yes,no,67,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),111.3,7567.2,3.66,61-70,101-120,7501-8000,3.5-4.0
2774-LVQUS,yes,female,1,yes,no,15,yes,yes,fiber optic,no,no,yes,yes,no,no,month-to-month,yes,electronic check,83.05,1258.3,2.73,0-20,81-100,1001-1500,2.5-3.0
2777-PHDEI,yes,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,no,electronic check,78.05,78.05,2.56,0-20,61-80,0-500,2.5-3.0
2778-OCLGR,yes,male,1,yes,no,24,no,no phone service,dsl,yes,no,no,no,no,yes,month-to-month,no,bank transfer (automatic),39.1,971.3,1.28,21-30,21-40,501-1000,1.0-1.5
2782-JEEBU,no,male,0,no,no,21,no,no phone service,dsl,no,yes,no,yes,no,no,month-to-month,yes,mailed check,36.0,780.15,1.18,21-30,21-40,501-1000,1.0-1.5
2782-LFZVW,no,female,0,no,no,11,yes,yes,dsl,no,no,no,no,no,yes,month-to-month,yes,mailed check,58.95,601.6,1.94,0-20,41-60,501-1000,1.5-2.0
2786-GCDPI,no,female,1,no,no,50,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,104.95,5222.35,3.45,41-50,101-120,5001-5500,3.0-3.5
2788-CJQAQ,no,male,0,no,no,13,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.45,270.2,0.64,0-20,0-20,0-500,0.5-1.0
2789-CZANW,no,female,0,yes,yes,64,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,two year,no,bank transfer (automatic),110.3,6997.3,3.62,61-70,101-120,6501-7000,3.5-4.0
2789-HQBOU,no,male,0,no,no,3,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,80.35,253.8,2.64,0-20,81-100,0-500,2.5-3.0
2790-XUYMV,no,male,0,no,yes,71,yes,yes,fiber optic,yes,yes,no,no,no,no,one year,yes,credit card (automatic),85.45,6028.95,2.81,71-80,81-100,6001-6500,2.5-3.0
2791-SFVEW,no,female,0,no,no,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),20.15,238.15,0.66,0-20,21-40,0-500,0.5-1.0
2792-LSHWX,no,female,0,no,no,1,yes,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,yes,mailed check,83.4,83.4,2.74,0-20,81-100,0-500,2.5-3.0
2792-VPPET,no,male,0,no,no,3,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,20.5,76.95,0.67,0-20,21-40,0-500,0.5-1.0
2794-XIMMO,yes,male,0,yes,no,53,no,no phone service,dsl,no,yes,yes,yes,yes,yes,one year,yes,electronic check,60.45,3184.25,1.99,51-60,61-80,3001-3500,1.5-2.0
2796-NNUFI,no,female,0,yes,yes,46,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,19.95,927.1,0.66,41-50,0-20,501-1000,0.5-1.0
2796-UUZZO,no,male,0,yes,yes,63,yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),80.3,4896.35,2.64,61-70,81-100,4501-5000,2.5-3.0
2798-NYLMZ,no,male,0,yes,no,71,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,credit card (automatic),108.55,7616.0,3.57,71-80,101-120,7501-8000,3.5-4.0
2799-ARNLO,no,female,1,yes,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.35,341.6,2.28,0-20,61-80,0-500,2.0-2.5
2799-TSLAG,no,female,0,yes,yes,65,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,bank transfer (automatic),25.3,1748.55,0.83,61-70,21-40,1501-2000,0.5-1.0
2800-QQUSO,no,male,0,no,no,42,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,100.3,4222.95,3.3,41-50,101-120,4001-4500,3.0-3.5
2800-VEQXM,no,female,0,no,no,3,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,mailed check,74.75,238.1,2.46,0-20,61-80,0-500,2.0-2.5
2801-NISEI,no,male,0,no,no,24,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,no,electronic check,54.95,1348.5,1.81,21-30,41-60,1001-1500,1.5-2.0
2804-ETQDK,no,male,0,no,yes,66,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,20.55,1357.1,0.68,61-70,21-40,1001-1500,0.5-1.0
2805-AUFQN,no,female,0,no,no,25,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.8,475.2,0.65,21-30,0-20,0-500,0.5-1.0
2805-EDJPQ,no,female,0,yes,yes,56,yes,yes,fiber optic,no,yes,yes,yes,no,yes,one year,yes,credit card (automatic),99.75,5608.4,3.28,51-60,81-100,5501-6000,3.0-3.5
2806-MLNTI,no,male,1,yes,no,52,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,bank transfer (automatic),105.1,5376.4,3.45,51-60,101-120,5001-5500,3.0-3.5
2808-CHTDM,no,female,0,yes,yes,23,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,25.1,611.45,0.82,21-30,21-40,501-1000,0.5-1.0
2809-ILCYT,no,female,0,yes,no,25,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,26.8,733.55,0.88,21-30,21-40,501-1000,0.5-1.0
2809-ZMYOQ,no,female,0,no,no,32,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,101.35,3334.9,3.33,31-40,101-120,3001-3500,3.0-3.5
2810-FTLEM,yes,female,0,no,no,16,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,50.15,762.25,1.65,0-20,41-60,501-1000,1.5-2.0
2811-POVEX,no,female,1,yes,yes,23,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),88.45,2130.55,2.91,21-30,81-100,2001-2500,2.5-3.0
2812-ENYMO,no,male,0,no,no,26,no,no phone service,dsl,yes,no,no,yes,yes,yes,one year,no,credit card (automatic),54.55,1362.85,1.79,21-30,41-60,1001-1500,1.5-2.0
2812-REYAT,no,female,0,yes,no,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,bank transfer (automatic),20.05,923.1,0.66,41-50,21-40,501-1000,0.5-1.0
2812-SFXMJ,no,male,0,no,yes,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.05,20.05,0.66,0-20,21-40,0-500,0.5-1.0
2815-CPTUL,yes,male,1,no,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.25,331.9,2.31,0-20,61-80,0-500,2.0-2.5
2817-LVCPP,no,female,0,no,no,50,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.4,1023.95,0.64,41-50,0-20,1001-1500,0.5-1.0
2817-NTQDO,yes,male,0,no,no,13,no,no phone service,dsl,yes,no,no,yes,yes,no,month-to-month,yes,credit card (automatic),45.55,597.0,1.5,0-20,41-60,501-1000,1.0-1.5
2819-GWENI,no,female,0,yes,yes,28,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.9,543.0,0.65,21-30,0-20,501-1000,0.5-1.0
2821-WARNZ,no,female,0,no,yes,49,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,credit card (automatic),19.45,921.3,0.64,41-50,0-20,501-1000,0.5-1.0
2823-LKABH,no,female,0,no,no,18,yes,yes,fiber optic,no,no,yes,yes,no,yes,month-to-month,yes,bank transfer (automatic),95.05,1679.4,3.12,0-20,81-100,1501-2000,3.0-3.5
2824-DXNKN,no,female,0,yes,yes,72,yes,yes,dsl,yes,no,yes,no,yes,no,two year,yes,bank transfer (automatic),71.45,5025.85,2.35,71-80,61-80,5001-5500,2.0-2.5
2824-MYYBN,no,female,0,yes,yes,37,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.25,3314.15,3.13,31-40,81-100,3001-3500,3.0-3.5
2826-DXLQO,no,male,1,yes,no,7,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),29.8,220.45,0.98,0-20,21-40,0-500,0.5-1.0
2826-UWHIS,no,male,0,yes,no,45,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,no,bank transfer (automatic),81.4,3775.85,2.67,41-50,81-100,3501-4000,2.5-3.0
2828-SLQPF,no,male,0,no,no,19,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),45.0,865.85,1.48,0-20,41-60,501-1000,1.0-1.5
2829-HYVZP,no,male,0,no,no,29,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,19.8,572.2,0.65,21-30,0-20,501-1000,0.5-1.0
2830-LEWOA,no,male,0,yes,yes,61,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,no,credit card (automatic),103.9,6449.15,3.41,61-70,101-120,6001-6500,3.0-3.5
2831-EBWRN,no,male,0,no,no,4,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.9,199.75,1.51,0-20,41-60,0-500,1.5-2.0
2832-KJCRD,no,female,0,no,no,38,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,103.65,3988.5,3.41,31-40,101-120,3501-4000,3.0-3.5
2832-SCUCO,no,female,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,electronic check,19.9,57.4,0.65,0-20,0-20,0-500,0.5-1.0
2833-SLKDQ,yes,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,45.05,45.05,1.48,0-20,41-60,0-500,1.0-1.5
2834-JKOOW,no,female,0,no,no,15,no,no phone service,dsl,yes,yes,yes,yes,no,no,one year,no,mailed check,45.9,693.45,1.51,0-20,41-60,501-1000,1.5-2.0
2834-JRTUA,yes,male,0,no,no,71,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,electronic check,108.05,7532.15,3.55,71-80,101-120,7501-8000,3.5-4.0
2834-SPCJV,yes,male,0,yes,no,52,yes,no,fiber optic,yes,no,no,no,yes,no,month-to-month,no,electronic check,84.1,4348.65,2.76,51-60,81-100,4001-4500,2.5-3.0
2839-RFSQE,yes,female,0,no,no,2,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.65,38.7,0.68,0-20,21-40,0-500,0.5-1.0
2840-XANRC,yes,male,1,yes,no,24,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,93.15,2231.05,3.06,21-30,81-100,2001-2500,3.0-3.5
2842-BCQGE,no,male,0,no,no,43,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),75.35,3161.4,2.48,41-50,61-80,3001-3500,2.0-2.5
2842-JTCCU,yes,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),46.05,80.35,1.51,0-20,41-60,0-500,1.5-2.0
2843-CQMEG,no,male,0,no,no,24,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed check,49.7,1218.25,1.63,21-30,41-60,1001-1500,1.5-2.0
2845-AFFTX,yes,male,1,yes,no,41,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.8,4259.3,3.28,41-50,81-100,4001-4500,3.0-3.5
2845-HSJCY,yes,female,0,yes,yes,14,yes,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,87.25,1258.6,2.87,0-20,81-100,1001-1500,2.5-3.0
2845-KDHVX,no,female,0,yes,no,64,yes,no,dsl,no,yes,yes,yes,no,yes,two year,yes,mailed check,68.3,4378.8,2.24,61-70,61-80,4001-4500,2.0-2.5
2848-YXSMW,no,male,0,yes,yes,72,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),19.4,1363.25,0.64,71-80,0-20,1001-1500,0.5-1.0
2851-MMUTZ,no,female,0,no,no,27,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,yes,mailed check,56.15,1439.35,1.84,21-30,41-60,1001-1500,1.5-2.0
2851-STERV,no,male,1,no,no,35,yes,no,dsl,no,no,yes,yes,yes,yes,one year,yes,electronic check,73.0,2471.25,2.4,31-40,61-80,2001-2500,2.0-2.5
2853-CWQFQ,no,male,0,no,yes,1,yes,no,dsl,no,no,no,yes,no,yes,month-to-month,yes,mailed check,59.55,59.55,1.96,0-20,41-60,0-500,1.5-2.0
2856-HYAPG,yes,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,68.65,68.65,2.26,0-20,61-80,0-500,2.0-2.5
2856-NNASM,yes,male,1,no,no,43,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,mailed check,89.55,3856.75,2.94,41-50,81-100,3501-4000,2.5-3.0
2858-EIMXH,no,female,1,yes,no,53,yes,yes,fiber optic,no,no,no,no,yes,yes,one year,yes,credit card (automatic),95.85,5016.25,3.15,51-60,81-100,5001-5500,3.0-3.5
2858-MOFSQ,yes,female,0,no,yes,17,yes,yes,dsl,no,no,yes,no,no,no,one year,yes,mailed check,55.85,937.5,1.83,0-20,41-60,501-1000,1.5-2.0
2860-RANUS,yes,female,1,no,no,20,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,credit card (automatic),85.8,1727.5,2.82,0-20,81-100,1501-2000,2.5-3.0
2862-JVEOY,no,male,0,no,no,6,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,19.15,124.4,0.63,0-20,0-20,0-500,0.5-1.0
2862-PFNIK,no,male,0,no,yes,1,no,no phone service,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,24.7,24.7,0.81,0-20,21-40,0-500,0.5-1.0
2863-IMQDR,no,female,0,no,no,61,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,electronic check,89.65,5308.7,2.95,61-70,81-100,5001-5500,2.5-3.0
2865-TCHJW,yes,female,1,no,no,4,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,electronic check,89.2,346.2,2.93,0-20,81-100,0-500,2.5-3.0
2866-IKBTM,no,female,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,19.55,19.55,0.64,0-20,0-20,0-500,0.5-1.0
2867-UIMSS,yes,male,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,80.5,80.5,2.64,0-20,81-100,0-500,2.5-3.0
2868-LLSKM,no,female,0,yes,yes,68,yes,yes,fiber optic,no,yes,no,yes,no,no,one year,yes,bank transfer (automatic),83.65,5733.4,2.75,61-70,81-100,5501-6000,2.5-3.0
2868-MZAGQ,yes,male,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,79.25,79.25,2.6,0-20,61-80,0-500,2.5-3.0
2868-SNELZ,yes,female,0,no,no,2,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,no,mailed check,80.6,155.8,2.65,0-20,81-100,0-500,2.5-3.0
2869-ADAWR,yes,female,0,no,no,45,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,credit card (automatic),89.3,4016.85,2.93,41-50,81-100,4001-4500,2.5-3.0
2873-ZLIWT,yes,female,0,yes,yes,40,yes,yes,fiber optic,no,no,yes,yes,no,no,month-to-month,yes,electronic check,84.85,3303.05,2.79,31-40,81-100,3001-3500,2.5-3.0
2874-YXVVA,no,female,0,no,no,34,yes,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,105.1,3634.8,3.45,31-40,101-120,3501-4000,3.0-3.5
2876-GZYZC,no,female,0,no,no,13,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.95,1215.65,2.82,0-20,81-100,1001-1500,2.5-3.0
2876-VBBBL,yes,female,0,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,20.25,20.25,0.67,0-20,21-40,0-500,0.5-1.0
2877-VDUER,no,female,0,yes,yes,35,no,no phone service,dsl,no,no,no,yes,yes,no,one year,no,mailed check,40.9,1383.6,1.34,31-40,41-60,1001-1500,1.0-1.5
2878-DHMIN,no,male,0,yes,yes,35,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,19.9,666.0,0.65,31-40,0-20,501-1000,0.5-1.0
2878-RMWXY,no,male,1,yes,no,72,yes,yes,fiber optic,yes,yes,yes,no,no,yes,two year,yes,credit card (automatic),102.65,7550.3,3.37,71-80,101-120,7501-8000,3.0-3.5
2880-FPNAE,no,male,1,yes,no,2,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,74.2,140.1,2.44,0-20,61-80,0-500,2.0-2.5
2882-DDZPG,no,female,0,no,no,12,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,bank transfer (automatic),19.45,227.45,0.64,0-20,0-20,0-500,0.5-1.0
2882-WDTBA,no,male,0,yes,yes,69,yes,no,dsl,yes,yes,yes,yes,yes,no,two year,yes,bank transfer (automatic),75.75,5388.15,2.49,61-70,61-80,5001-5500,2.0-2.5
